"","spp","dbh"
"758","ACSA",30.2
"759","ACSA",15
"760","ACSA",25
"761","ACSA",40
"762","ACSA",14.8
"763","FAGR",12.8
"764","ACSA",16.5
"765","BEAL",14
"766","BEAL",13.5
"767","ACSA",15
"768","ACSA",28.7
"769","ACSA",10.6
"770","ACSA",24
"771","ACSA",21.1
"772","ACSA",23.9
"773","FAGR",26.1
"774","ACSA",16
"775","ACSA",29.7
"776","ACSA",35.6
"777","BEAL",11.5
"778","FAGR",14
"779","BEAL",11.2
