"","spp","dbh"
"648","ACSA",14.4
"649","ACSA",31
"650","ACSA",30.4
"651","ACSA",13.5
"652","FAGR",17.1
"653","FAGR",19.3
"654","FAGR",11.1
"655","ACSA",27.1
"656","ACSA",16.1
"657","ACSA",17.6
"658","BEAL",21.4
"659","ACSA",25.9
"660","ACSA",13.3
"661","ACSA",44.2
"662","ACSA",18.9
