"","spp","dbh"
"205","BEAL",19
"206","ACSA",19.5
"207","BEAL",11.1
"208","ACSA",18.5
"209","ACSA",10.5
"210","ACSA",24.2
"211","ACSA",11.6
"212","ACSA",15.3
"213","ACSA",19.5
"214","ACSA",24.2
"215","ACSA",14.5
"216","ACSA",39.6
"217","ACSA",13.1
"218","ACPE",12.6
"219","BEAL",17.8
"220","BEAL",16.5
"221","PIRU",33.6
"222","ACSA",19.2
"223","ACSA",44
"224","ACRU",45.1
