"","spp","dbh"
"688","ACSA",41.4
"689","BEAL",29.7
"690","ACSA",12
"691","ACSA",10.2
"692","ACSA",13.2
"693","ACSA",11.1
"694","ACSA",41.5
"695","ACSA",15.8
"696","ACSA",35.3
"697","FAGR",17.9
"698","ACSA",12
"699","ACSA",33.6
