"","spp","dbh"
"722","ACSA",14.7
"723","ACSA",16
"724","ACSA",16
"725","ACSA",12.2
"726","BEAL",19.5
"727","BEAL",10.5
"728","ACSA",10.3
"729","FAGR",25.3
"730","FAGR",18.9
"731","ACSA",42.9
"732","FAGR",16.6
"733","FAGR",11.9
"734","ACSA",12.4
"735","ACSA",40
"736","ACSA",23.2
"737","ACSA",43.9
"738","BEAL",36.2
