"","spp","dbh"
"424","ACSA",28.9
"425","FAGR",15.2
"426","ACSA",42.6
"427","ACSA",28.8
"428","PIRU",21
"429","ACSA",36.3
"430","ACSA",21.9
"431","ACSA",51.2
"432","FAGR",15.2
"433","FAGR",15.5
"434","FAGR",17.3
"435","ACSA",30.5
"436","FAGR",17.6
"437","ACSA",32.2
"438","FAGR",10.7
"439","ACSA",15
"440","FAGR",36.6
