"","spp","dbh"
"631","FAGR",13.2
"632","ACSA",11.7
"633","ACSA",18.9
"634","BEAL",33.2
"635","ACSA",18
"636","ACSA",11
"637","ACSA",15.2
"638","BEAL",37.5
"639","ACSA",19.5
"640","ACSA",14.1
"641","ACSA",14
"642","ACSA",11.3
"643","ACSA",11
"644","ACSA",15.4
"645","ACPE",12.6
"646","BEAL",39.5
"647","BEAL",27.3
