"","spp","dbh"
"281","FAGR",13.7
"282","ACSA",10.3
"283","ACSA",36.1
"284","FAGR",13.3
"285","ACSA",15
"286","ACSA",19.4
"287","ACSA",11.3
"288","ACSA",13.4
"289","ACSA",11
"290","ACSA",15.7
"291","BEAL",17.6
"292","BEAL",16.8
"293","BEAL",17.8
