"","spp","dbh"
"150","BEAL",32.5
"151","FAGR",16.5
"152","ACSA",20.4
"153","ACSA",11.3
"154","FAGR",11
"155","BEAL",11.2
"156","ACPE",10.5
"157","ACSA",36.9
"158","ACSA",14.2
"159","ACSA",28.6
"160","ACSA",31.5
"161","ACSA",13.5
"162","ACSA",32.4
"163","FAGR",10.3
"164","ACSA",20.6
"165","ACSA",25.5
"166","ACSA",21.2
"167","ACSA",36.8
"168","ACSA",38.2
"169","BEAL",10.8
"170","ACSA",33.1
"171","BEAL",10.6
