"","spp","dbh"
"380","ACSA",17
"381","FAGR",35
"382","ACSA",48.1
"383","FAGR",12.2
"384","ACSA",29
"385","FAGR",26.4
"386","FAGR",12
"387","ACSA",13.9
"388","ACSA",19.2
"389","ACSA",45.5
"390","ACSA",36.5
"391","FAGR",25
"392","ACSA",40.2
"393","ACSA",12.3
"394","ACSA",25.3
