"","spp","dbh"
"618","ACSA",31.1
"619","FAGR",13
"620","FAGR",14.3
"621","FAGR",18
"622","ACSA",29.7
"623","FAGR",12.8
"624","ACSA",35.5
"625","BEAL",19.1
"626","ACSA",21.8
"627","ACSA",31.7
"628","ACSA",46.8
"629","ACSA",20.7
"630","FAGR",10.8
