"","spp","dbh"
"191","BEAL",23.9
"192","BEAL",24.7
"193","ACSA",16.3
"194","ACSA",29.7
"195","ACSA",46.2
"196","BEAL",13.7
"197","ACSA",22.6
"198","ACSA",23.2
"199","ACSA",15.5
"200","BEAL",45.2
"201","BEAL",16.2
"202","BEAL",39.7
