"","spp","dbh"
"340","ACSA",14.6
"341","ACSA",29.3
"342","ACSA",10.5
"343","ACSA",10.3
"344","FAGR",29.4
"345","ACSA",21.5
"346","FAGR",15.1
"347","PIRU",24.3
"348","ACSA",37
"349","ACSA",36.5
"350","BEAL",12.9
"351","ACSA",12
"352","FAGR",11.5
"353","ACPE",21.4
"354","FAGR",10.7
"355","FAGR",13.1
"356","BEAL",13.7
"357","BEAL",31
"358","PIRU",11.7
"359","PIRU",11
"360","ACSA",37.2
"361","BEAL",34.5
"362","ACPE",34.5
