"","spp","dbh"
"739","ACSA",48
"740","ACSA",31.7
"741","BEAL",10.2
"742","BEAL",23.8
"743","FAGR",21
"744","ACPE",11.7
"745","ACSA",15.3
"746","ACSA",36.7
"747","FAGR",23.4
"748","ACSA",13.2
"749","FAGR",15.9
"750","ACSA",10.5
"751","ACSA",13.1
"752","FAGR",14.3
"753","ACSA",11.9
"754","ACSA",17
"755","ACSA",25.5
"756","ACSA",19.2
"757","ACPE",15.3
