"","spp","dbh"
"552","BEAL",47
"553","ACSA",34.7
"554","ACSA",10.5
"555","FAGR",29.2
"556","BEAL",28
"557","FAGR",14.9
"558","FAGR",17.1
"559","FAGR",15.9
"560","FAGR",16.4
"561","ACSA",14.6
"562","ACSA",34.6
"563","FAGR",12.1
"564","FAGR",11.7
"565","ACSA",11.6
"566","ACRU",31.3
"567","ACSA",51
"568","ACSA",10.6
"569","ACSA",31.2
"570","ACSA",20.5
"571","ACSA",28.7
