"","spp","dbh"
"324","ACSA",42.6
"325","FAGR",13.7
"326","FAGR",19.8
"327","ACSA",30.9
"328","PIRU",21
"329","PIRU",18.1
"330","ACSA",31.4
"331","ACSA",24.9
"332","ACSA",19.9
"333","FAGR",24.7
"334","ACSA",14.5
"335","ACSA",20.7
"336","ACSA",24.2
"337","ACSA",41.5
"338","ACSA",35.3
"339","FAGR",10.1
