"","spp","dbh"
"780","ACSA",21.5
"781","ACSA",18.6
"782","ACSA",15.7
"783","ACSA",16.8
"784","ACSA",16.6
"785","ACSA",14.5
"786","ACSA",16.5
"787","ACSA",24.3
"788","ACSA",10.7
"789","ACSA",15.3
"790","ACSA",10.6
"791","ACSA",13.8
"792","ACSA",12
"793","FAGR",11.8
"794","FAGR",22.2
"795","ACSA",21
"796","ACSA",52.7
"797","ACSA",23
"798","ACSA",20.2
"799","ACSA",15.8
"800","ACSA",11.2
