"","spp","dbh"
"264","ACSA",20.9
"265","ACSA",16
"266","ACSA",22.7
"267","BEAL",30.7
"268","ACSA",22.1
"269","ACSA",18.5
"270","ACSA",10.3
"271","ACSA",21.6
"272","BEAL",25.5
"273","BEAL",15.6
"274","ACSA",13
"275","ACSA",11
"276","ACSA",15.8
"277","BEAL",14.2
"278","FAGR",13.6
"279","ACSA",23.1
"280","ACSA",32.9
