"","spp","dbh"
"363","FAGR",30.7
"364","ACSA",15.4
"365","BEAL",24.4
"366","FAGR",14.3
"367","FAGR",25.1
"368","BEAL",31.1
"369","BEAL",37
"370","BEAL",23.3
"371","BEAL",30.5
"372","ACSA",34.5
"373","PIRU",12.8
"374","BEAL",43.3
"375","ACSA",26.5
"376","FAGR",33.6
"377","BEAL",31.3
"378","FAGR",10.2
"379","ACPE",11.1
